"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/10/2016","Netflix","NETFLIX COM LOS GATOS CA US","7.99","debit","Movies & DVDs","Luxuries","",""
"12/09/2016","Annmarie Delgad","SQ *ANNMARIE DELGAD BERKELEY CA US","159.30","debit","Uncategorized","Luxuries","",""
"12/08/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","41.24","debit","Groceries","Groceries","",""
"12/06/2016","Zachary A Vance","ZACHARY A VANCE (Ally Online Savings Account XXXXXX4754) sen","762.00","debit","Uncategorized","Dropbox Savings","",""
"12/06/2016","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5311) sent mon","1050.00","debit","Uncategorized","Luxuries","",""
"12/06/2016","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5311) sent mon","420.00","debit","Uncategorized","Luxuries","",""
"12/06/2016","Yelpinc Eat Delhi","YELPINC*EAT24 DELHI DI 8778877815 CA US","45.37","debit","Uncategorized","Groceries","",""
"12/05/2016","Echeck Deposit","eCheck Deposit","302.37","credit","Income","Bills","",""
"12/05/2016","Echeck Deposit","eCheck Deposit","100.00","credit","Income","Bills","",""
"12/04/2016","Transfer to Taxes","Internet transfer to Interest Checking account XXXXXX5329","16869.00","debit","Transfer","Dropbox Savings","",""
"12/04/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","420.00","debit","Transfer","Dropbox Savings","",""
"12/04/2016","Transfer from Dropbox Savings","Internet transfer from Online Savings account XXXXXX4754","420.00","credit","Transfer","Luxuries","",""
"12/04/2016","Amazon","AMAZON.COM SEATTLE WA US","66.44","debit","Shopping","Luxuries","",""
"12/04/2016","Amazon","AMAZON.COM SEATTLE WA US","11.21","debit","Shopping","Luxuries","",""
"12/04/2016","Transfer from Dropbox Savings","Internet transfer from Online Savings account XXXXXX4754","16869.00","credit","Transfer","Taxes","",""
"12/03/2016","Lucky","LUCKY #709.EL CERRITO C EL CERRITO CA US","6.12","debit","Groceries","Groceries","",""
"12/02/2016","Digitalocean Com Ny","DIGITALOCEAN.COM 6463978051 NY US","5.00","debit","Income","Bills","",""
"12/02/2016","Steam Games","STEAMPOWERED.COM BELLEVUE WA US","10.07","debit","Entertainment","Luxuries","",""
"11/30/2016","Check","","4.53","credit","Check","IRA Online Savings","",""
"11/30/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3483.64 ~ Tran: DDIR","3483.64","credit","Paycheck","Dropbox Savings","",""
"11/30/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"11/29/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","385.00","credit","Transfer","Bills","",""
"11/29/2016","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","385.00","debit","Transfer","Income","",""
"11/26/2016","Amazon","AMAZON.COM SEATTLE WA US","5.40","debit","Shopping","Luxuries","",""
"11/26/2016","Amazon","AMAZON.COM SEATTLE WA US","81.96","debit","Shopping","Luxuries","",""
"11/26/2016","Amazon","AMAZON.COM SEATTLE WA US","10.94","debit","Shopping","Luxuries","",""
"11/25/2016","Comcast","COMCAST COMCAST","80.90","debit","Television","Bills","",""
"11/25/2016","Overdraft Fee","Fee for Overdraft Item Paid","25.00","debit","Bank Fee","Bills","",""
"11/25/2016","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5303) sent mon","697.00","debit","Mortgage & Rent","Rent","",""
"11/23/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","40.34","debit","Groceries","Groceries","",""
"11/22/2016","Chipotle","CHIPOTLE 0231 BERKELEY CA US","12.78","debit","Fast Food","Restaurants","",""
"11/21/2016","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","100.00","debit","Transfer","Income","",""
"11/21/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","100.00","credit","Transfer","Groceries","",""
"11/21/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","15.92","debit","Groceries","Groceries","",""
"11/20/2016","Interest Paid","Interest Paid","0.02","credit","Interest Income","Bills","",""
"11/20/2016","Interest Paid","Interest Paid","33.14","credit","Interest Income","Dropbox Savings","",""
"11/20/2016","Interest Paid","Interest Paid","0.09","credit","Interest Income","Luxuries","",""
"11/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Income","",""
"11/20/2016","Interest Paid","Interest Paid","0.79","credit","Interest Income","Rent","",""
"11/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Groceries","",""
"11/20/2016","ATM Fee Refund","ATM Fee Reimbursement","3.00","credit","ATM Fee","Groceries","",""
"11/19/2016","Cardtronics","Cardtronics CCS 670 EL CERRITO PLZ EL CERRITO CA US","200.00","debit","Financial","Bills","",""
"11/19/2016","CVS","CVS/PHARMACY #09 El Cerrito CA US","6.16","debit","Pharmacy","Groceries","",""
"11/15/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3712.42 ~ Tran: DDIR","3712.42","credit","Paycheck","Dropbox Savings","",""
"11/15/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"11/14/2016","T-Mobile","T-MOBILE PCS SVC~ Future Amount: 58.99 ~ Tran: ACHDW","58.99","debit","Mobile Phone","Bills","",""
"11/14/2016","Steam Games","STEAMPOWERED.COM BELLEVUE WA US","6.98","debit","Entertainment","Luxuries","",""
"11/14/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","6.54","debit","Groceries","Groceries","",""
"11/10/2016","Netflix","NETFLIX COM LOS GATOS CA US","7.99","debit","Movies & DVDs","Luxuries","",""
"11/08/2016","Steam Games","STEAMPOWERED.COM BELLEVUE WA US","9.99","debit","Entertainment","Luxuries","",""
"11/08/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","17.33","debit","Groceries","Groceries","",""
"11/08/2016","Doordash Wingstop Ca","DOORDASH-WINGSTOP 6506819470 CA US","51.97","debit","Restaurants","Restaurants","",""
"11/07/2016","Steam Games","STEAMPOWERED.COM BELLEVUE WA US","24.98","debit","Entertainment","Luxuries","",""
"11/07/2016","Amazon","AMAZON.COM SEATTLE WA US","6.39","debit","Shopping","Luxuries","",""
"11/07/2016","Amazon","AMAZON.COM SEATTLE WA US","7.32","debit","Shopping","Luxuries","",""
"11/05/2016","Amazon","AMAZON.COM SEATTLE WA US","14.99","debit","Shopping","Luxuries","",""
"11/02/2016","Digitalocean Com Ny","DIGITALOCEAN.COM 6463978051 NY US","5.00","debit","Income","Bills","",""
"11/01/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","50.00","credit","Transfer","Restaurants","",""
"11/01/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","35.00","credit","Transfer","Snacks","",""
"11/01/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","400.00","credit","Transfer","Luxuries","",""
"11/01/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","400.00","debit","Transfer","Income","",""
"11/01/2016","Transfer to Restaurants","Internet transfer to Interest Checking account XXXXXX5295","50.00","debit","Transfer","Income","",""
"11/01/2016","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5319","50.00","debit","Transfer","Income","",""
"11/01/2016","Transfer to Snacks","Internet transfer to Interest Checking account XXXXXX4453","35.00","debit","Transfer","Income","",""
"11/01/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","50.00","credit","Transfer","Groceries","",""
"10/31/2016","Check","","4.68","credit","Check","IRA Online Savings","",""
"10/31/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3483.64 ~ Tran: DDIR","3483.64","credit","Paycheck","Dropbox Savings","",""
"10/31/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"10/29/2016","Amazon","AMAZON.COM SEATTLE WA US","12.37","debit","Shopping","Luxuries","",""
"10/29/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","51.44","debit","Groceries","Groceries","",""
"10/29/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","1100.00","debit","Transfer","Dropbox Savings","",""
"10/29/2016","Transfer from Dropbox Savings","Internet transfer from Online Savings account XXXXXX4754","1100.00","credit","Transfer","Luxuries","",""
"10/28/2016","Chipotle","CHIPOTLE 1899 EL CERRITO CA US","13.43","debit","Fast Food","Restaurants","",""
"10/26/2016","Amazon","AMAZON.COM SEATTLE WA US","117.15","debit","Shopping","Luxuries","",""
"10/26/2016","Amazon","AMAZON.COM SEATTLE WA US","22.35","debit","Shopping","Luxuries","",""
"10/25/2016","Amazon","AMAZON.COM SEATTLE WA US","46.92","debit","Shopping","Luxuries","",""
"10/25/2016","Comcast","COMCAST COMCAST~ Future Amount: 80.9 ~ Tran: ACHDW","80.90","debit","Television","Bills","",""
"10/25/2016","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5303) sent mon","697.00","debit","Mortgage & Rent","Rent","",""
"10/24/2016","Bank Of America","BANK OF AMERICA *ALBANY ALBANY CA US","103.00","debit","Financial","Groceries","",""
"10/24/2016","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","19.73","debit","Fast Food","Restaurants","",""
"10/24/2016","Zhang Tao Ca","PAYPAL *ZHANG TAO 4029357733 CA US","13.06","debit","Uncategorized","Luxuries","",""
"10/23/2016","Amazon","AMAZON.COM SEATTLE WA US","7.97","debit","Shopping","Luxuries","",""
"10/23/2016","Amazon","AMAZON.COM SEATTLE WA US","27.11","debit","Shopping","Luxuries","",""
"10/23/2016","Amazon","AMAZON.COM SEATTLE WA US","20.00","debit","Shopping","Luxuries","",""
"10/22/2016","Amazon","AMAZON.COM SEATTLE WA US","44.95","debit","Shopping","Luxuries","",""
"10/22/2016","Amazon","AMAZON.COM SEATTLE WA US","6.06","debit","Shopping","Luxuries","",""
"10/22/2016","Rtdvapor Pa Us","RTDVAPOR 6107518917 PA US","100.97","debit","Uncategorized","Luxuries","",""
"10/22/2016","Amazon","AMAZON.COM SEATTLE WA US","31.66","debit","Shopping","Groceries","",""
"10/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Restaurants","",""
"10/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Bills","",""
"10/20/2016","Interest Paid","Interest Paid","27.23","credit","Interest Income","Dropbox Savings","",""
"10/20/2016","ATM Fee Refund","ATM Fee Reimbursement","3.00","credit","ATM Fee","Luxuries","",""
"10/20/2016","Jiangshengc","PAYPAL *JIANGSHENGC San Jose CA US","13.42","debit","Uncategorized","Luxuries","",""
"10/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Luxuries","",""
"10/20/2016","Interest Paid","Interest Paid","0.03","credit","Interest Income","Income","",""
"10/20/2016","Interest Paid","Interest Paid","0.82","credit","Interest Income","Rent","",""
"10/20/2016","CVS","CVS/PHARMACY #09 El Cerrito CA US","9.84","debit","Pharmacy","Groceries","",""
"10/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Groceries","",""
"10/19/2016","Steam Games","STEAMPOWERED.COM BELLEVUE WA US","7.79","debit","Entertainment","Luxuries","",""
"10/17/2016","Wing Stop","WINGSTOP 0477 EL CERRITO CA US","30.78","debit","Restaurants","Restaurants","",""
"10/16/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","230.00","credit","Transfer","Luxuries","",""
"10/16/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","230.00","debit","Transfer","Income","",""
"10/16/2016","Transfer to Groceries","Internet transfer to Interest Checking account XXXXXX5295","200.00","debit","Transfer","Income","",""
"10/16/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","200.00","credit","Transfer","Groceries","",""
"10/15/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","5.50","debit","Groceries","Groceries","",""
"10/14/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3495.96 ~ Tran: DDIR","3495.96","credit","Paycheck","Dropbox Savings","",""
"10/14/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"10/12/2016","Six","SIX5 SAN JOSE CA US","59.99","debit","Uncategorized","Luxuries","",""
"10/11/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","100.00","credit","Transfer","Restaurants","",""
"10/11/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","400.00","credit","Transfer","Bills","",""
"10/11/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","217.00","credit","Transfer","Luxuries","",""
"10/11/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","217.00","debit","Transfer","Income","",""
"10/11/2016","Transfer to Restaurants","Internet transfer to Interest Checking account XXXXXX5319","100.00","debit","Transfer","Income","",""
"10/11/2016","Transfer to Bills","Internet transfer to Interest Checking account XXXXXX4461","400.00","debit","Transfer","Income","",""
"10/11/2016","Overdraft Fee","Fee for Overdraft Item Paid","25.00","debit","Bank Fee","Bills","",""
"10/11/2016","T-Mobile","T-MOBILE PCS SVC","59.11","debit","Mobile Phone","Bills","",""
"10/10/2016","Netflix","NETFLIX COM LOS GATOS CA US","7.99","debit","Movies & DVDs","Luxuries","",""
"10/10/2016","Cafe Platano","CAFE PLATANO BERKELEY CA US","25.84","debit","Restaurants","Restaurants","",""
"10/05/2016","Domino's Pizza","DOMINO'S 7902 510-222-9025 CA US","23.21","debit","Fast Food","Restaurants","",""
"10/04/2016","Vault","THE VAULT CAFE BERKELEY CA US","17.55","debit","Business Services","Restaurants","",""
"10/04/2016","Albany Hill Mini Mart","ALBANY HILL MINI MAR ALBANY CA US","26.14","debit","Groceries","Groceries","",""
"10/03/2016","Wing Stop","WINGSTOP 0477 EL CERRITO CA US","23.52","debit","Restaurants","Restaurants","",""
"10/03/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","14.48","debit","Groceries","Groceries","",""
"10/02/2016","Digitalocean Com Ny","DIGITALOCEAN.COM 6463978051 NY US","5.00","debit","Income","Bills","",""
"10/01/2016","Bank Of America","BANK OF AMERICA *ALBANY ALBANY CA US","83.00","debit","Financial","Luxuries","",""
"9/30/2016","Check","","4.52","credit","Check","IRA Online Savings","",""
"9/30/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3132.18 ~ Tran: DDIR","3132.18","credit","Paycheck","Dropbox Savings","",""
"9/30/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"9/27/2016","Amazon","AMAZON.COM SEATTLE WA US","21.87","debit","Shopping","Luxuries","",""
"9/26/2016","Comcast","COMCAST COMCAST","80.90","debit","Television","Bills","",""
"9/26/2016","Ludeon Studios Qc","LUDEON STUDIOS 5551234567 QC US","30.24","debit","Uncategorized","Luxuries","",""
"9/26/2016","Zachary A Vance","ZACHARY A VANCE (Ally Interest Checking XXXXXX5303) sent mon","697.00","debit","Mortgage & Rent","Rent","",""
"9/25/2016","Amazon","AMAZON.COM SEATTLE WA US","68.97","debit","Shopping","Luxuries","",""
"9/24/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","250.00","credit","Transfer","Luxuries","",""
"9/24/2016","Transfer to Luxuries","Internet transfer to Interest Checking account XXXXXX5311","250.00","debit","Transfer","Income","",""
"9/23/2016","Gog Com Nicosia","GOG.COM NICOSIA CY","6.04","debit","Uncategorized","Luxuries","",""
"9/23/2016","Safeway","SAFEWAY  STORE  0676 ALBANY CA US","38.17","debit","Groceries","Groceries","",""
"9/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Restaurants","",""
"9/20/2016","Interest Paid","Interest Paid","0.03","credit","Interest Income","Bills","",""
"9/20/2016","Interest Paid","Interest Paid","22.34","credit","Interest Income","Dropbox Savings","",""
"9/20/2016","Interest Paid","Interest Paid","0.02","credit","Interest Income","Income","",""
"9/20/2016","Interest Paid","Interest Paid","0.91","credit","Interest Income","Rent","",""
"9/20/2016","Interest Paid","Interest Paid","0.01","credit","Interest Income","Groceries","",""
"9/20/2016","ATM Fee Refund","ATM Fee Reimbursement","2.95","credit","ATM Fee","Groceries","",""
"9/19/2016","Ao Sen Restaurant","AO SEN RESTAURANT ALBANY CA US","23.94","debit","Restaurants","Restaurants","",""
"9/15/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 3207.01 ~ Tran: DDIR","3207.01","credit","Paycheck","Dropbox Savings","",""
"9/15/2016","Dropbox Direct Dep","DROPBOX INC DIRECT DEP~ Future Amount: 483.33 ~ Tran: DDIR","483.33","credit","Paycheck","Income","",""
"9/12/2016","T-Mobile","T-MOBILE PCS SVC","59.11","debit","Mobile Phone","Bills","",""
"9/10/2016","Netflix","NETFLIX COM LOS GATOS CA US","7.99","debit","Movies & DVDs","Luxuries","",""
"9/07/2016","La Burrita","POSTMATES LA BURRITA 8778877815 CA US","39.01","debit","Restaurants","Restaurants","",""
"9/06/2016","Amazon","AMAZON.COM SEATTLE WA US","71.49","debit","Shopping","Luxuries","",""
"9/06/2016","Chase Epay","CHASE EPAY","0.27","debit","Financial","Bills","",""
"9/06/2016","Chase Epay","CHASE EPAY","95.00","debit","Financial","Bills","",""
"9/05/2016","Thank You Web","Payment Thank You - Web","0.27","credit","Credit Card Payment","CREDIT CARD","",""
"9/05/2016","Thank You Web","Payment Thank You - Web","95.00","credit","Credit Card Payment","CREDIT CARD","",""
"9/04/2016","Amazon","AMAZON.COM SEATTLE WA US","6.99","debit","Shopping","Groceries","",""
"9/03/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","100.00","credit","Transfer","Restaurants","",""
"9/03/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","87.00","credit","Transfer","Bills","",""
"9/03/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","597.00","credit","Transfer","Dropbox Savings","",""
"9/03/2016","Amazon","AMAZON.COM SEATTLE WA US","135.30","debit","Shopping","Luxuries","",""
"9/03/2016","Transfer from Income","Internet transfer from Interest Checking account XXXXXX5337","200.00","credit","Transfer","Luxuries","",""
