Game,Time,Genre,Tone,Format,Players,Complexity,Subtitle,Content,Page,PlayersAll,Supplies,Unusual Supplies,Author,Goal
A Pleasant Evening,120-180,Modern,Funny,GMless,3-6,1,A Game of Mild Enjoyment & Modulated Camaraderie,"Surreal oddness, overwhelming chance for failure",69,"3,4,5,6","Paper, d6",,Jordan Shiveley,"Navigate the perils of keeping an evening from becoming a party, or so boring everyone falls asleep"
Post-Match Interview,30-60,Sports,Funny,GMless,3+,1,Asking Tired People Surreal Questions,"Sports, surrealism, improv",71,"3,4,5,6,7,8,9,10","Notecards, pens, timer, d10, microphone prop, table",,James Medez Hodes,Reporter's Goal: Get the athletes to say exciting things to extertain imaginary sports fants. Athlete's Goal: Get through a tedious public appearance with minimal effort
Pyrewaltz,60-120,Science Fiction,Adventurous,GMless,2,4,Love is coming again,"Rivalry, combat, romance",73,2,"Notecards, character sheets, paper clips, pen, 2d4, 2d6, 2d8","Paperclips, Char Sheets",Soup,Be the last one standing
Summer Break!,30-60,Modern,Adventurous,GMless,1-4,3,Defend Your Childhood,"Monsters, nostalgia, growing up",75,"1,2,3,4","Paper, pen, 1d6",,Joey Barranco,Build a childhood Fort and defend it from the threats of adulthood
Super Overtime,60-180,Sports,Adventurous,Traditional,3-7,3,The Hero Basketball League Championship Game,"Over the top, surreal",77,"3,4,5,6,7","Paper, pen, 1d20, 2d6/player",,Omari Akil,Win the Hero Basketball League Championship
Swords by Starlight,60-90,Fantasy,Serious,GMless,2,1,A Dance and Duel,"Romance, angst, sexual tension",79,2,5d6,,Anna Anthropy,"To enter a complicated relationship with the enemy of your family, meeting ont he dance floot and then the battlefield"
Tales from the Corner Coven,60-180,Animals,Funny,GMless,4,3,Horrors and the Bodega Cats Who Slay Them,"Horror, supernatural, demons",81,4,"Pen, paper, 1d6",,Jonaya Kemper,Perform a ritual in order to vanquish supernatural creatures
To the Bitter End,60-120,Modern,Serious,GMless,2,2,The Final Battle is Here,"Competition, rivalry, tragedy",83,2,"Pen, paper, 1d6",,Takuma Okada,Win the Final Battle and decide the fate of your rival
Truth in the Mirage,60-120,Fantasy,Serious,GMless,2-6,3,A Game about the evolution of stories,"Traditional storytelling, analysis, reinterpretation",85,"2,3,4,5,6","Paper, pen",,Amr Ammourazz,To discover the hidden heart of a story
Unkindness,60-120,Animals,Funny,Rotating,3-6,2,A Game about Asolescent Ravens,"Teenaged angst, risky behavior, social pressure, death",87,"3,4,5,6","Paper, pen, 1d6",,James D'Amato,To cause distruction and experience emotions as teen ravens
Van Gogh's Ear,<60,Comedy,Funny,GMless,2-5,1,The Game of Inadvisable Gifts,"Cruel dramatic irony, cringingly terrible choices",89,"2,3,4,5",Cards,Cards,"Jenn Ellis, Keith Baker",Give a gift to a fellow player that is both considerate for them and tragic for you
What Our Bodies Tell Us,60,Fantasy,Serious,GMless,1-5,1,A Story about the People from the North,"Drawing on skin, physical contact",91,"1,2,3,4,5",Body-paint,Body Paint,Caitlyn Aura Belle,Players will practice telling a story both visually and verbally by using custom-drawn tattoos to accompany an on-going story about a mysterious culture
Wild Rovers,20-35,Animals,Adventurous,GMless,4-8,2,"Tricks, Trials, Treats, and Finding Your Way Back Home","Family, hopeful, sweet",93,"4,5,6,7,8","Notecards, pen",,Shanna Germain,To find your way home together
With Sword Heavy in Hand,30-60,Fantasy,Serious,GMless,1,1,Love and Regret at the Tip of a Blade,"Revenge, nostalgia, regret",95,1,"Paper, pen, d6",,Kienna Shaw,Finish your journey and make your decision
Wonders,30-90,Modern,Funny,GMless,3-6,2,"A Game about Making It Big Exactly Once, and the People along the Way","Arguments, improv, role-playing challenges",97,"3,4,5,6","Paper, pen, d6",,Alex Flanigan,"To write the song that makes you famous, and destroy the band in the process."
You Were Never Really Here,60-120,Horror,Scary,GMless,3-5,3,A Surreal Ghost Story Game,"Web building, spooky",99,"3,4,5","Notecards, scissors, string, d6, d10, cord board","String, Cork Board, Scissors",Ben Chong,Solve the mystery and find the Ghost
